entry_id,posting_date,amount,direction,description,reference,gl_account,source_journal
GL-000468,2026-08-14,858.35,credit,Sundance Freight Lines — check 4351,4351,1010,CD
GL-000505,2026-08-14,270.75,debit,Provo Provisions — remittance,,1010,CR
GL-000533,2026-08-14,1748.40,debit,Saltair Supper Club — invoice 8413,INV8413,1010,CR
GL-000535,2026-08-14,1842.15,debit,Juniper Table — invoice 8540,INV8540,1010,CR
GL-000569,2026-08-14,1851.75,debit,Granite Peak Foods — invoice 8911,INV8911,1010,CR
GL-000570,2026-08-14,1330.30,debit,Alta Vista Bistro — invoice 8200,INV8200,1010,CR
GL-000577,2026-08-14,8498.95,credit,Sundance Freight Lines — settlement,,1010,CD
GL-000586,2026-08-14,442.00,debit,Alta Vista Bistro — invoice 8363,INV8363,1010,CR
GL-000026,2026-08-17,6072.25,credit,Deseret Payroll Services — check 4123,4123,1010,CD
GL-000034,2026-08-17,2801.65,credit,Alpine Equipment Repair — check 4128,4128,1010,CD
GL-000067,2026-08-17,7093.95,credit,Wasatch Produce Partners — check 4145,4145,1010,CD
GL-000177,2026-08-17,7683.65,credit,Trailhead Print Works — check 4196,4196,1010,CD
GL-000188,2026-08-17,700.55,debit,Granite Peak Foods — invoice 8055,INV8055,1010,CR
GL-000189,2026-08-17,1728.20,credit,Wasatch Produce Partners — check 4202,4202,1010,CD
GL-000201,2026-08-17,2006.75,debit,Timpanogos Coffee — invoice 8353,INV8353,1010,CR
GL-000206,2026-08-17,17953.50,credit,Dominguez Olive Oils — check 4209,4209,1010,CD
GL-000212,2026-08-17,457.20,debit,Brighton Bistro — invoice 8379,INV8379,1010,CR
GL-000273,2026-08-17,402.30,credit,High Desert Dairy — check 4240,4240,1010,CD
GL-000287,2026-08-17,6281.90,debit,Logan Canyon Cafe — invoice 8211,INV8211,1010,CR
GL-000304,2026-08-17,695.40,credit,Alpine Equipment Repair — check 4258,4258,1010,CD
GL-000319,2026-08-17,2500.25,debit,Logan Canyon Cafe — invoice 8126,INV8126,1010,CR
GL-000343,2026-08-17,201.50,debit,Red Butte Diner — invoice 8244,INV8244,1010,CR
GL-000357,2026-08-17,6824.30,credit,Cache Valley Creamery — check 4290,4290,1010,CD
GL-000358,2026-08-17,2609.00,credit,Deseret Payroll Services — check 4291,4291,1010,CD
GL-000362,2026-08-17,5703.20,credit,Alpine Equipment Repair — check 4294,4294,1010,CD
GL-000367,2026-08-17,4790.25,credit,Northgate Paper Supply — check 4297,4297,1010,CD
GL-000391,2026-08-17,1404.05,credit,Cedar Mesa Spices — check 4312,4312,1010,CD
GL-000452,2026-08-17,1528.25,debit,Juniper Table — invoice 8566,INV8566,1010,CR
GL-000525,2026-08-17,4801.65,debit,Alta Vista Bistro — remittance,,1010,CR
GL-000568,2026-08-17,328.45,debit,Snowbasin Catering — invoice 8453,INV8453,1010,CR
GL-000022,2026-08-18,5229.65,credit,Alpine Equipment Repair — check 4120,4120,1010,CD
GL-000023,2026-08-18,3722.65,debit,Cottonwood Catering — invoice 8915,INV8915,1010,CR
GL-000059,2026-08-18,724.95,debit,Provo Provisions — invoice 8366,INV8366,1010,CR
GL-000095,2026-08-18,8140.80,debit,Timpanogos Coffee — invoice 8844,INV8844,1010,CR
GL-000192,2026-08-18,641.35,credit,Deseret Payroll Services — check 4203,4203,1010,CD
GL-000202,2026-08-18,3169.10,credit,High Desert Dairy — check 4206,4206,1010,CD
GL-000208,2026-08-18,5996.20,credit,Cache Valley Creamery — check 4211,4211,1010,CD
GL-000223,2026-08-18,5442.30,debit,Lakeside Grill — invoice 8085,INV8085,1010,CR
GL-000228,2026-08-18,8591.70,debit,Cottonwood Catering — invoice 8853,INV8853,1010,CR
GL-000229,2026-08-18,1080.40,credit,Weber Fleet Services — check 4221,4221,1010,CD
GL-000267,2026-08-18,3914.10,debit,Heber Valley Foods — invoice 8501,INV8501,1010,CR
GL-000295,2026-08-18,1356.85,credit,Alpine Equipment Repair — check 4252,4252,1010,CD
GL-000307,2026-08-18,516.70,credit,Zion Cold Storage — check 4260,4260,1010,CD
GL-000317,2026-08-18,6953.75,credit,Rocky Mountain Power — check 4266,4266,1010,CD
GL-000356,2026-08-18,4042.20,credit,Weber Fleet Services — check 4289,4289,1010,CD
GL-000364,2026-08-18,6391.70,credit,Sego Lily Cleaning — check 4295,4295,1010,CD
GL-000369,2026-08-18,4573.60,credit,Cedar Mesa Spices — check 4299,4299,1010,CD
GL-000374,2026-08-18,5535.80,credit,Northgate Paper Supply — check 4301,4301,1010,CD
GL-000398,2026-08-18,6165.75,debit,Silver Fork Cafe — invoice 8619,INV8619,1010,CR
GL-000408,2026-08-18,3946.80,debit,Juniper Table — invoice 8828,INV8828,1010,CR
GL-000448,2026-08-18,4662.50,credit,High Desert Dairy — check 4341,4341,1010,CD
GL-000498,2026-08-18,2864.30,debit,Trailhead Print Works — remittance,,1010,CR
GL-000502,2026-08-18,1583.90,debit,Park City Market — remittance,,1010,CR
GL-000510,2026-08-18,718.90,debit,Sego Lily Cleaning — remittance,,1010,CR
GL-000523,2026-08-18,6247.85,debit,Beehive Packaging — remittance,,1010,CR
GL-000574,2026-08-18,7779.90,credit,Beehive Packaging — settlement,,1010,CD
GL-000013,2026-08-19,1040.40,debit,Brighton Bistro — invoice 8607,INV8607,1010,CR
GL-000066,2026-08-19,8143.60,debit,Alta Vista Bistro — invoice 8286,INV8286,1010,CR
GL-000076,2026-08-19,2662.00,debit,Lakeside Grill — invoice 8748,INV8748,1010,CR
GL-000077,2026-08-19,2662.00,credit,Union Pacific Logistics — check 4147,4147,1010,CD
GL-000116,2026-08-19,1699.85,credit,Union Pacific Logistics — check 4165,4165,1010,CD
GL-000118,2026-08-19,5230.60,credit,Cedar Mesa Spices — check 4166,4166,1010,CD
GL-000119,2026-08-19,5231.20,credit,Weber Fleet Services — check 4167,4167,1010,CD
GL-000122,2026-08-19,4019.90,debit,Emigration Kitchen — invoice 8831,INV8831,1010,CR
GL-000143,2026-08-19,4492.25,debit,Bonneville Bagels — invoice 8788,INV8788,1010,CR
GL-000158,2026-08-19,3107.45,credit,Weber Fleet Services — check 4187,4187,1010,CD
GL-000176,2026-08-19,2005.45,debit,Juniper Table — invoice 8913,INV8913,1010,CR
GL-000185,2026-08-19,2338.95,credit,Dominguez Olive Oils — check 4200,4200,1010,CD
GL-000215,2026-08-19,3524.90,debit,Cottonwood Catering — invoice 8960,INV8960,1010,CR
GL-000217,2026-08-19,750.55,debit,Juniper Table — invoice 8043,INV8043,1010,CR
GL-000259,2026-08-19,7048.75,debit,Copper Ridge Market — invoice 8037,INV8037,1010,CR
GL-000262,2026-08-19,6444.50,credit,Cedar Mesa Spices — check 4236,4236,1010,CD
GL-000268,2026-08-19,5281.55,credit,Trailhead Print Works — check 4239,4239,1010,CD
GL-000301,2026-08-19,3397.55,debit,Ogden Street Foods — invoice 8382,INV8382,1010,CR
GL-000342,2026-08-19,5002.35,debit,Logan Canyon Cafe — invoice 8414,INV8414,1010,CR
GL-000354,2026-08-19,7260.50,debit,Snowbasin Catering — invoice 8075,INV8075,1010,CR
GL-000389,2026-08-19,1877.40,credit,Sego Lily Cleaning — check 4310,4310,1010,CD
GL-000402,2026-08-19,2122.00,debit,Alta Vista Bistro — invoice 8648,INV8648,1010,CR
GL-000418,2026-08-19,2106.10,credit,Alpine Equipment Repair — check 4326,4326,1010,CD
GL-000443,2026-08-19,2503.60,debit,Bearclaw Bakery — invoice 8703,INV8703,1010,CR
GL-000461,2026-08-19,1715.95,credit,Deseret Payroll Services — check 4346,4346,1010,CD
GL-000462,2026-08-19,1297.60,debit,Canyon Ridge Grocery — invoice 8677,INV8677,1010,CR
GL-000464,2026-08-19,930.20,credit,Union Pacific Logistics — check 4348,4348,1010,CD
GL-000475,2026-08-19,473.60,debit,Kanab Creek Supply — remittance,,1010,CR
GL-000488,2026-08-19,3503.05,debit,Redrock Provisions — remittance,,1010,CR
GL-000515,2026-08-19,6053.90,debit,Sundance Freight Lines — remittance,,1010,CR
GL-000554,2026-08-19,2649.65,debit,Alta Vista Bistro — invoice 8141,INV8141,1010,CR
GL-000555,2026-08-19,2774.30,debit,Bonneville Bagels — invoice 8089,INV8089,1010,CR
GL-000556,2026-08-19,2569.75,debit,Wasatch Deli Group — invoice 8908,INV8908,1010,CR
GL-000558,2026-08-19,2335.70,debit,Copper Ridge Market — invoice 8537,INV8537,1010,CR
GL-000559,2026-08-19,1697.35,debit,Snowbasin Catering — invoice 8588,INV8588,1010,CR
GL-000560,2026-08-19,1115.05,debit,Ogden Street Foods — invoice 8995,INV8995,1010,CR
GL-000006,2026-08-20,8424.15,credit,Sego Lily Cleaning — check 4117,4117,1010,CD
GL-000029,2026-08-20,550.50,debit,Logan Canyon Cafe — invoice 8763,INV8763,1010,CR
GL-000061,2026-08-20,7764.80,credit,Wasatch Produce Partners — check 4141,4141,1010,CD
GL-000062,2026-08-20,6571.60,credit,Cache Valley Creamery — check 4142,4142,1010,CD
GL-000078,2026-08-20,3267.25,debit,Wasatch Deli Group — invoice 8739,INV8739,1010,CR
GL-000105,2026-08-20,4553.70,credit,Sego Lily Cleaning — check 4160,4160,1010,CD
GL-000166,2026-08-20,5348.45,credit,Cedar Mesa Spices — check 4190,4190,1010,CD
GL-000174,2026-08-20,10163.50,credit,Wasatch Produce Partners — check 4195,4195,1010,CD
GL-000175,2026-08-20,5868.90,debit,Red Butte Diner — invoice 8487,INV8487,1010,CR
GL-000204,2026-08-20,1148.55,credit,High Desert Dairy — check 4207,4207,1010,CD
GL-000255,2026-08-20,251.05,credit,Sundance Freight Lines — check 4233,4233,1010,CD
GL-000340,2026-08-20,451.75,debit,Wasatch Deli Group — invoice 8644,INV8644,1010,CR
GL-000345,2026-08-20,1592.25,credit,High Desert Dairy — check 4285,4285,1010,CD
GL-000355,2026-08-20,1894.00,debit,Park City Market — invoice 8202,INV8202,1010,CR
GL-000381,2026-08-20,3218.90,credit,Sego Lily Cleaning — check 4306,4306,1010,CD
GL-000392,2026-08-20,2184.05,debit,Ogden Street Foods — invoice 8336,INV8336,1010,CR
GL-000424,2026-08-20,7890.25,debit,Redrock Provisions — invoice 8346,INV8346,1010,CR
GL-000425,2026-08-20,3559.50,debit,Canyon Ridge Grocery — invoice 8121,INV8121,1010,CR
GL-000433,2026-08-20,2374.85,debit,Heber Valley Foods — invoice 8474,INV8474,1010,CR
GL-000521,2026-08-20,3023.90,debit,Bonneville Bagels — remittance,,1010,CR
GL-000551,2026-08-20,2683.50,debit,Logan Canyon Cafe — invoice 8521,INV8521,1010,CR
GL-000552,2026-08-20,2883.40,debit,Lakeside Grill — invoice 8127,INV8127,1010,CR
GL-000557,2026-08-20,2652.20,debit,Bearclaw Bakery — invoice 8496,INV8496,1010,CR
GL-000589,2026-08-20,539.40,debit,Provo Provisions — invoice 8127,INV8127,1010,CR
GL-000014,2026-08-21,531.10,debit,Alta Vista Bistro — invoice 8666,INV8666,1010,CR
GL-000032,2026-08-21,6665.60,debit,Moab Trading Post — invoice 8695,INV8695,1010,CR
GL-000033,2026-08-21,200.00,credit,Beehive Packaging — check 4127,4127,1010,CD
GL-000141,2026-08-21,7012.65,credit,Trailhead Print Works — check 4178,4178,1010,CD
GL-000187,2026-08-21,3484.80,debit,Bearclaw Bakery — invoice 8868,INV8868,1010,CR
GL-000221,2026-08-21,6564.60,debit,Granite Peak Foods — invoice 8621,INV8621,1010,CR
GL-000234,2026-08-21,6685.25,credit,Alpine Equipment Repair — check 4224,4224,1010,CD
GL-000235,2026-08-21,516.95,credit,Deseret Payroll Services — check 4225,4225,1010,CD
GL-000261,2026-08-21,7363.85,debit,Lakeside Grill — invoice 8406,INV8406,1010,CR
GL-000263,2026-08-21,1583.80,debit,Timpanogos Coffee — invoice 8464,INV8464,1010,CR
GL-000293,2026-08-21,7303.00,debit,Ogden Street Foods — invoice 8421,INV8421,1010,CR
GL-000327,2026-08-21,2328.40,credit,Union Pacific Logistics — check 4273,4273,1010,CD
GL-000346,2026-08-21,3522.70,debit,Lakeside Grill — invoice 8319,INV8319,1010,CR
GL-000348,2026-08-21,5112.35,credit,Rocky Mountain Power — check 4287,4287,1010,CD
GL-000372,2026-08-21,5875.95,debit,Provo Provisions — invoice 8698,INV8698,1010,CR
GL-000373,2026-08-21,3001.10,credit,High Desert Dairy — check 4300,4300,1010,CD
GL-000417,2026-08-21,5148.25,debit,Copper Ridge Market — invoice 8842,INV8842,1010,CR
GL-000421,2026-08-21,6036.65,credit,Wasatch Produce Partners — check 4327,4327,1010,CD
GL-000428,2026-08-21,3767.75,debit,Redrock Provisions — invoice 8083,INV8083,1010,CR
GL-000431,2026-08-21,7845.20,credit,Trailhead Print Works — check 4330,4330,1010,CD
GL-000441,2026-08-21,6651.00,credit,Cedar Mesa Spices — check 4337,4337,1010,CD
GL-000490,2026-08-21,5147.70,debit,Alta Vista Bistro — remittance,,1010,CR
GL-000516,2026-08-21,278.35,debit,Sego Lily Cleaning — remittance,,1010,CR
GL-000550,2026-08-21,2065.65,debit,Logan Canyon Cafe — invoice 8563,INV8563,1010,CR
GL-000553,2026-08-21,2284.85,debit,Juniper Table — invoice 8166,INV8166,1010,CR
GL-000590,2026-08-21,539.40,debit,Provo Provisions — invoice 8127,INV8127,1010,CR
GL-000009,2026-08-24,7260.00,debit,Bonneville Bagels — invoice 8656,INV8656,1010,CR
GL-000042,2026-08-24,5195.25,debit,Juniper Table — invoice 8175,INV8175,1010,CR
GL-000070,2026-08-24,3149.05,debit,Granite Peak Foods — invoice 8360,INV8360,1010,CR
GL-000134,2026-08-24,1823.70,debit,Canyon Ridge Grocery — invoice 8367,INV8367,1010,CR
GL-000136,2026-08-24,8181.45,credit,Cedar Mesa Spices — check 4175,4175,1010,CD
GL-000137,2026-08-24,8181.45,debit,Bonneville Bagels — invoice 8078,INV8078,1010,CR
GL-000140,2026-08-24,7804.15,credit,Zion Cold Storage — check 4177,4177,1010,CD
GL-000150,2026-08-24,6144.95,debit,Park City Market — invoice 8409,INV8409,1010,CR
GL-000160,2026-08-24,1928.80,credit,Sego Lily Cleaning — check 4188,4188,1010,CD
GL-000161,2026-08-24,1928.80,debit,Ogden Street Foods — invoice 8261,INV8261,1010,CR
GL-000194,2026-08-24,1524.25,debit,Canyon Ridge Grocery — invoice 8319,INV8319,1010,CR
GL-000211,2026-08-24,20136.15,credit,Beehive Packaging — check 4213,4213,1010,CD
GL-000225,2026-08-24,8135.95,credit,Salt Flats Beverage — check 4218,4218,1010,CD
GL-000260,2026-08-24,8583.20,credit,Rocky Mountain Power — check 4235,4235,1010,CD
GL-000277,2026-08-24,6233.20,credit,Weber Fleet Services — check 4244,4244,1010,CD
GL-000286,2026-08-24,6455.35,debit,Park City Market — invoice 8865,INV8865,1010,CR
GL-000290,2026-08-24,5355.10,credit,High Desert Dairy — check 4249,4249,1010,CD
GL-000294,2026-08-24,3172.05,debit,Brighton Bistro — invoice 8046,INV8046,1010,CR
GL-000297,2026-08-24,2295.30,debit,Copper Ridge Market — invoice 8579,INV8579,1010,CR
GL-000298,2026-08-24,2353.35,credit,Deseret Payroll Services — check 4254,4254,1010,CD
GL-000339,2026-08-24,3014.95,credit,Cedar Mesa Spices — check 4283,4283,1010,CD
GL-000351,2026-08-24,4164.80,debit,Silver Fork Cafe — invoice 8877,INV8877,1010,CR
GL-000360,2026-08-24,3328.60,credit,Salt Flats Beverage — check 4292,4292,1010,CD
GL-000396,2026-08-24,6215.70,debit,Brighton Bistro — invoice 8063,INV8063,1010,CR
GL-000399,2026-08-24,699.50,credit,Cache Valley Creamery — check 4316,4316,1010,CD
GL-000412,2026-08-24,5620.60,debit,Bearclaw Bakery — invoice 8645,INV8645,1010,CR
GL-000423,2026-08-24,3302.20,debit,Wasatch Deli Group — invoice 8573,INV8573,1010,CR
GL-000457,2026-08-24,3903.25,debit,Heber Valley Foods — invoice 8550,INV8550,1010,CR
GL-000466,2026-08-24,468.30,credit,Northgate Paper Supply — check 4349,4349,1010,CD
GL-000470,2026-08-24,5405.95,credit,Sundance Freight Lines — check 4353,4353,1010,CD
GL-000507,2026-08-24,3650.40,debit,Lakeside Grill — remittance,,1010,CR
GL-000576,2026-08-24,6787.90,credit,Great Basin Insurance — settlement,,1010,CD
GL-000603,2026-08-24,3648.60,credit,Union Pacific Logistics — check 4363,4363,1010,CD
GL-000604,2026-08-24,3666.00,credit,Great Basin Insurance — check 4364,4364,1010,CD
GL-000608,2026-08-24,1388.30,credit,High Desert Dairy — check 4368,4368,1010,CD
GL-000617,2026-08-24,4556.40,credit,Deseret Payroll Services — check 4377,4377,1010,CD
GL-000055,2026-08-25,2547.80,debit,Timpanogos Coffee — invoice 8262,INV8262,1010,CR
GL-000056,2026-08-25,2546.85,debit,Granite Peak Foods — invoice 8915,INV8915,1010,CR
GL-000071,2026-08-25,4822.45,debit,Heber Valley Foods — invoice 8001,INV8001,1010,CR
GL-000135,2026-08-25,452.20,debit,Moab Trading Post — invoice 8576,INV8576,1010,CR
GL-000148,2026-08-25,4687.65,credit,Sego Lily Cleaning — check 4183,4183,1010,CD
GL-000149,2026-08-25,4687.65,debit,Moab Trading Post — invoice 8217,INV8217,1010,CR
GL-000168,2026-08-25,423.70,debit,Emigration Kitchen — invoice 8029,INV8029,1010,CR
GL-000193,2026-08-25,706.30,debit,Wasatch Deli Group — invoice 8121,INV8121,1010,CR
GL-000216,2026-08-25,4000.15,debit,Moab Trading Post — invoice 8191,INV8191,1010,CR
GL-000224,2026-08-25,7187.70,credit,Cedar Mesa Spices — check 4217,4217,1010,CD
GL-000240,2026-08-25,7394.35,credit,Cache Valley Creamery — check 4227,4227,1010,CD
GL-000303,2026-08-25,2174.05,debit,Logan Canyon Cafe — invoice 8251,INV8251,1010,CR
GL-000309,2026-08-25,5945.55,credit,Sundance Freight Lines — check 4261,4261,1010,CD
GL-000315,2026-08-25,5760.80,credit,Union Pacific Logistics — check 4264,4264,1010,CD
GL-000318,2026-08-25,305.05,credit,Sego Lily Cleaning — check 4267,4267,1010,CD
GL-000366,2026-08-25,5515.80,debit,Granite Peak Foods — invoice 8227,INV8227,1010,CR
GL-000414,2026-08-25,417.05,debit,Emigration Kitchen — invoice 8866,INV8866,1010,CR
GL-000422,2026-08-25,5899.45,credit,Weber Fleet Services — check 4328,4328,1010,CD
GL-000438,2026-08-25,5930.25,credit,Dominguez Olive Oils — check 4335,4335,1010,CD
GL-000469,2026-08-25,1818.45,credit,Weber Fleet Services — check 4352,4352,1010,CD
GL-000484,2026-08-25,579.55,debit,Redrock Provisions — remittance,,1010,CR
GL-000493,2026-08-25,2978.35,debit,Emigration Kitchen — remittance,,1010,CR
GL-000513,2026-08-25,6314.10,debit,Canyon Ridge Grocery — remittance,,1010,CR
GL-000519,2026-08-25,5593.50,debit,Dominguez Olive Oils — remittance,,1010,CR
GL-000526,2026-08-25,1281.15,debit,Union Pacific Logistics — remittance,,1010,CR
GL-000578,2026-08-25,9592.00,credit,Dominguez Olive Oils — settlement,,1010,CD
GL-000594,2026-08-25,850.20,credit,Unidentified customer remittance,,1010,GJ
GL-000612,2026-08-25,477.00,credit,Cache Valley Creamery — check 4372,4372,1010,CD
GL-000614,2026-08-25,3372.35,credit,Wasatch Produce Partners — check 4374,4374,1010,CD
GL-000616,2026-08-25,3648.05,credit,Cedar Mesa Spices — check 4376,4376,1010,CD
GL-000037,2026-08-26,7864.85,debit,Silver Fork Cafe — invoice 8024,INV8024,1010,CR
GL-000047,2026-08-26,2664.60,credit,Trailhead Print Works — check 4135,4135,1010,CD
GL-000049,2026-08-26,8082.45,credit,Dominguez Olive Oils — check 4136,4136,1010,CD
GL-000052,2026-08-26,5582.90,debit,Brighton Bistro — invoice 8203,INV8203,1010,CR
GL-000053,2026-08-26,5582.90,credit,Wasatch Produce Partners — check 4138,4138,1010,CD
GL-000072,2026-08-26,4401.80,debit,Granite Peak Foods — invoice 8391,INV8391,1010,CR
GL-000080,2026-08-26,4270.75,credit,Cache Valley Creamery — check 4149,4149,1010,CD
GL-000102,2026-08-26,2531.90,debit,Wasatch Deli Group — invoice 8405,INV8405,1010,CR
GL-000127,2026-08-26,4073.60,credit,Great Basin Insurance — check 4170,4170,1010,CD
GL-000128,2026-08-26,4074.55,debit,Cottonwood Catering — invoice 8451,INV8451,1010,CR
GL-000142,2026-08-26,7063.90,credit,Sundance Freight Lines — check 4179,4179,1010,CD
GL-000244,2026-08-26,6797.00,debit,Ogden Street Foods — invoice 8330,INV8330,1010,CR
GL-000249,2026-08-26,2260.30,debit,Snowbasin Catering — invoice 8265,INV8265,1010,CR
GL-000266,2026-08-26,6791.05,credit,Dominguez Olive Oils — check 4238,4238,1010,CD
GL-000270,2026-08-26,6238.65,debit,Wasatch Deli Group — invoice 8903,INV8903,1010,CR
GL-000296,2026-08-26,242.55,credit,Alpine Equipment Repair — check 4253,4253,1010,CD
GL-000302,2026-08-26,4599.45,credit,Beehive Packaging — check 4257,4257,1010,CD
GL-000325,2026-08-26,624.95,debit,Granite Peak Foods — invoice 8890,INV8890,1010,CR
GL-000344,2026-08-26,3214.80,credit,Cedar Mesa Spices — check 4284,4284,1010,CD
GL-000349,2026-08-26,5575.70,debit,Provo Provisions — invoice 8166,INV8166,1010,CR
GL-000388,2026-08-26,3707.85,debit,Lakeside Grill — invoice 8020,INV8020,1010,CR
GL-000400,2026-08-26,4923.15,credit,Weber Fleet Services — check 4317,4317,1010,CD
GL-000410,2026-08-26,4976.25,debit,Wasatch Deli Group — invoice 8821,INV8821,1010,CR
GL-000437,2026-08-26,3913.85,debit,Copper Ridge Market — invoice 8129,INV8129,1010,CR
GL-000445,2026-08-26,5600.45,credit,Zion Cold Storage — check 4338,4338,1010,CD
GL-000473,2026-08-26,649.70,debit,Alta Vista Bistro — invoice 8909,INV8909,1010,CR
GL-000478,2026-08-26,2625.25,debit,Kanab Creek Supply — remittance,,1010,CR
GL-000480,2026-08-26,4566.50,debit,Antelope Island Foods — remittance,,1010,CR
GL-000499,2026-08-26,3273.60,debit,Brighton Bistro — remittance,,1010,CR
GL-000514,2026-08-26,2104.30,debit,Timpanogos Coffee — remittance,,1010,CR
GL-000522,2026-08-26,4446.45,debit,Timpanogos Coffee — remittance,,1010,CR
GL-000561,2026-08-26,3048.25,debit,Redrock Provisions — invoice 8384,INV8384,1010,CR
GL-000575,2026-08-26,7598.30,credit,Cedar Mesa Spices — settlement,,1010,CD
GL-000592,2026-08-26,336.70,credit,Reclass from prior month accrual,,1010,GJ
GL-000599,2026-08-26,5283.15,credit,Cedar Mesa Spices — check 4359,4359,1010,CD
GL-000602,2026-08-26,4930.75,credit,Salt Flats Beverage — check 4362,4362,1010,CD
GL-000605,2026-08-26,1491.55,credit,High Desert Dairy — check 4365,4365,1010,CD
GL-000607,2026-08-26,280.65,credit,Salt Flats Beverage — check 4367,4367,1010,CD
GL-000015,2026-08-27,6686.65,debit,Moab Trading Post — invoice 8452,INV8452,1010,CR
GL-000016,2026-08-27,8579.75,debit,Provo Provisions — invoice 8602,INV8602,1010,CR
GL-000017,2026-08-27,5729.65,debit,Emigration Kitchen — invoice 8299,INV8299,1010,CR
GL-000024,2026-08-27,7681.10,credit,Trailhead Print Works — check 4121,4121,1010,CD
GL-000040,2026-08-27,3409.15,credit,Weber Fleet Services — check 4131,4131,1010,CD
GL-000041,2026-08-27,3409.15,credit,Union Pacific Logistics — check 4132,4132,1010,CD
GL-000057,2026-08-27,2208.25,debit,Provo Provisions — invoice 8556,INV8556,1010,CR
GL-000120,2026-08-27,385.70,debit,Timpanogos Coffee — invoice 8467,INV8467,1010,CR
GL-000129,2026-08-27,3156.80,debit,Saltair Supper Club — invoice 8969,INV8969,1010,CR
GL-000172,2026-08-27,1888.15,credit,High Desert Dairy — check 4193,4193,1010,CD
GL-000173,2026-08-27,1888.75,credit,Weber Fleet Services — check 4194,4194,1010,CD
GL-000198,2026-08-27,12343.20,debit,Moab Trading Post — invoice 8232,INV8232,1010,CR
GL-000247,2026-08-27,1677.90,debit,Granite Peak Foods — invoice 8232,INV8232,1010,CR
GL-000278,2026-08-27,507.70,credit,Trailhead Print Works — check 4245,4245,1010,CD
GL-000282,2026-08-27,3948.95,debit,Granite Peak Foods — invoice 8714,INV8714,1010,CR
GL-000291,2026-08-27,5759.30,credit,Cache Valley Creamery — check 4250,4250,1010,CD
GL-000299,2026-08-27,4597.60,credit,Cache Valley Creamery — check 4255,4255,1010,CD
GL-000332,2026-08-27,3607.45,debit,Brighton Bistro — invoice 8186,INV8186,1010,CR
GL-000350,2026-08-27,1466.80,debit,Juniper Table — invoice 8576,INV8576,1010,CR
GL-000375,2026-08-27,5205.15,debit,Canyon Ridge Grocery — invoice 8056,INV8056,1010,CR
GL-000378,2026-08-27,8134.40,credit,High Desert Dairy — check 4304,4304,1010,CD
GL-000483,2026-08-27,130.10,debit,Bonneville Bagels — remittance,,1010,CR
GL-000489,2026-08-27,5195.25,debit,Cache Valley Creamery — remittance,,1010,CR
GL-000562,2026-08-27,1919.75,debit,Wasatch Deli Group — invoice 8682,INV8682,1010,CR
GL-000563,2026-08-27,971.80,debit,Brighton Bistro — invoice 8409,INV8409,1010,CR
GL-000564,2026-08-27,1555.70,debit,Logan Canyon Cafe — invoice 8692,INV8692,1010,CR
GL-000567,2026-08-27,1879.50,debit,Canyon Ridge Grocery — invoice 8624,INV8624,1010,CR
GL-000579,2026-08-27,7528.25,credit,Salt Flats Beverage — settlement,,1010,CD
GL-000596,2026-08-27,5229.20,credit,Cedar Mesa Spices — check 4356,4356,1010,CD
GL-000598,2026-08-27,2075.10,credit,High Desert Dairy — check 4358,4358,1010,CD
GL-000611,2026-08-27,2425.00,credit,Northgate Paper Supply — check 4371,4371,1010,CD
GL-000618,2026-08-27,7218.25,debit,Saltair Supper Club — deposit DEP11391,DEP11391,1010,CR
GL-000623,2026-08-27,1915.80,debit,Brighton Bistro — deposit DEP37737,DEP37737,1010,CR
GL-000625,2026-08-27,7195.35,debit,Emigration Kitchen — deposit DEP40030,DEP40030,1010,CR
GL-000627,2026-08-27,7768.75,debit,Canyon Ridge Grocery — deposit DEP92454,DEP92454,1010,CR
GL-000628,2026-08-27,4792.55,debit,Timpanogos Coffee — deposit DEP84047,DEP84047,1010,CR
GL-000012,2026-08-28,2013.30,debit,Park City Market — invoice 8362,INV8362,1010,CR
GL-000039,2026-08-28,4812.95,debit,Granite Peak Foods — invoice 8467,INV8467,1010,CR
GL-000063,2026-08-28,4248.15,debit,Red Butte Diner — invoice 8407,INV8407,1010,CR
GL-000086,2026-08-28,3485.25,debit,Moab Trading Post — invoice 8839,INV8839,1010,CR
GL-000151,2026-08-28,648.50,debit,Provo Provisions — invoice 8736,INV8736,1010,CR
GL-000153,2026-08-28,5517.85,credit,Wasatch Produce Partners — check 4184,4184,1010,CD
GL-000157,2026-08-28,1983.30,credit,Sundance Freight Lines — check 4186,4186,1010,CD
GL-000199,2026-08-28,8407.70,credit,Northgate Paper Supply — check 4204,4204,1010,CD
GL-000207,2026-08-28,4109.75,credit,Weber Fleet Services — check 4210,4210,1010,CD
GL-000214,2026-08-28,7083.00,credit,Wasatch Produce Partners — check 4215,4215,1010,CD
GL-000233,2026-08-28,6283.30,debit,Moab Trading Post — invoice 8365,INV8365,1010,CR
GL-000237,2026-08-28,4064.55,debit,Cottonwood Catering — invoice 8506,INV8506,1010,CR
GL-000305,2026-08-28,2322.30,debit,Lakeside Grill — invoice 8065,INV8065,1010,CR
GL-000565,2026-08-28,2378.60,debit,Heber Valley Foods — invoice 8597,INV8597,1010,CR
GL-000566,2026-08-28,1264.60,debit,Park City Market — invoice 8296,INV8296,1010,CR
GL-000591,2026-08-28,1792.75,debit,Suspense entry pending research,,1010,GJ
