item_type,item_id,true_match_group,scenario_code,exception_code,expected_risk,expected_disposition,note
bank,BT-000156,SCN-01-G0156,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000147,SCN-01-G0156,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000157,SCN-01-G0157,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000148,SCN-01-G0157,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000158,SCN-01-G0158,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000149,SCN-01-G0158,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000159,SCN-01-G0159,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000150,SCN-01-G0159,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000160,SCN-01-G0160,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000151,SCN-01-G0160,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000161,SCN-01-G0161,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000152,SCN-01-G0161,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000162,SCN-01-G0162,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000153,SCN-01-G0162,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000163,SCN-01-G0163,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000154,SCN-01-G0163,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000164,SCN-01-G0164,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000155,SCN-01-G0164,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000165,SCN-01-G0165,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000156,SCN-01-G0165,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000166,SCN-01-G0166,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000157,SCN-01-G0166,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000167,SCN-01-G0167,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000158,SCN-01-G0167,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000168,SCN-01-G0168,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000159,SCN-01-G0168,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000169,SCN-01-G0169,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000160,SCN-01-G0169,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000170,SCN-01-G0170,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000161,SCN-01-G0170,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000171,SCN-01-G0171,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000162,SCN-01-G0171,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000172,SCN-01-G0172,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000163,SCN-01-G0172,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000173,SCN-01-G0173,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000164,SCN-01-G0173,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000174,SCN-01-G0174,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000165,SCN-01-G0174,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000175,SCN-01-G0175,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000166,SCN-01-G0175,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000176,SCN-01-G0176,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000167,SCN-01-G0176,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000177,SCN-01-G0177,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000168,SCN-01-G0177,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000178,SCN-01-G0178,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000169,SCN-01-G0178,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000179,SCN-01-G0179,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000170,SCN-01-G0179,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000180,SCN-01-G0180,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000171,SCN-01-G0180,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000181,SCN-01-G0181,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000172,SCN-01-G0181,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000182,SCN-01-G0182,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000173,SCN-01-G0182,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000183,SCN-01-G0183,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000174,SCN-01-G0183,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000184,SCN-01-G0184,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000175,SCN-01-G0184,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000185,SCN-01-G0185,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000176,SCN-01-G0185,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000186,SCN-01-G0186,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000177,SCN-01-G0186,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000187,SCN-01-G0187,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000178,SCN-01-G0187,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000188,SCN-01-G0188,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000179,SCN-01-G0188,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000189,SCN-01-G0189,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000180,SCN-01-G0189,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000190,SCN-01-G0190,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000181,SCN-01-G0190,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000191,SCN-01-G0191,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000182,SCN-01-G0191,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000192,SCN-01-G0192,SCN-01,,high,match,"Amount, reference and date agree"
ledger,GL-000183,SCN-01-G0192,SCN-01,,high,match,"Amount, reference and date agree"
bank,BT-000193,SCN-01-G0193,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000184,SCN-01-G0193,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000194,SCN-01-G0194,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000185,SCN-01-G0194,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000195,SCN-01-G0195,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000186,SCN-01-G0195,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000196,SCN-01-G0196,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000187,SCN-01-G0196,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000197,SCN-01-G0197,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000188,SCN-01-G0197,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000198,SCN-01-G0198,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000189,SCN-01-G0198,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000199,SCN-01-G0199,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000190,SCN-01-G0199,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000200,SCN-01-G0200,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000191,SCN-01-G0200,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000201,SCN-01-G0201,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000192,SCN-01-G0201,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000202,SCN-01-G0202,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000193,SCN-01-G0202,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000203,SCN-01-G0203,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000194,SCN-01-G0203,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000204,SCN-01-G0204,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000195,SCN-01-G0204,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000205,SCN-01-G0205,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000196,SCN-01-G0205,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000206,SCN-01-G0206,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000197,SCN-01-G0206,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000207,SCN-01-G0207,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000198,SCN-01-G0207,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000208,SCN-01-G0208,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000199,SCN-01-G0208,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000209,SCN-01-G0209,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000200,SCN-01-G0209,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000210,SCN-01-G0210,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000201,SCN-01-G0210,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000211,SCN-01-G0211,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000202,SCN-01-G0211,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000212,SCN-01-G0212,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000203,SCN-01-G0212,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000213,SCN-01-G0213,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000204,SCN-01-G0213,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000214,SCN-01-G0214,SCN-01,,high,match,"Amount, reference and date agree"
ledger,GL-000205,SCN-01-G0214,SCN-01,,high,match,"Amount, reference and date agree"
bank,BT-000215,SCN-01-G0215,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000206,SCN-01-G0215,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000216,SCN-01-G0216,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000207,SCN-01-G0216,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000217,SCN-01-G0217,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000208,SCN-01-G0217,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000218,SCN-01-G0218,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000209,SCN-01-G0218,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000219,SCN-01-G0219,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000210,SCN-01-G0219,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000220,SCN-01-G0220,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000211,SCN-01-G0220,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000221,SCN-01-G0221,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000212,SCN-01-G0221,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000222,SCN-01-G0222,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000213,SCN-01-G0222,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000223,SCN-01-G0223,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000214,SCN-01-G0223,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000224,SCN-01-G0224,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000215,SCN-01-G0224,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000225,SCN-01-G0225,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000216,SCN-01-G0225,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000226,SCN-01-G0226,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000217,SCN-01-G0226,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000227,SCN-01-G0227,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000218,SCN-01-G0227,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000228,SCN-01-G0228,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000219,SCN-01-G0228,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000229,SCN-01-G0229,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000220,SCN-01-G0229,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000230,SCN-01-G0230,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000221,SCN-01-G0230,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000231,SCN-01-G0231,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000222,SCN-01-G0231,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000232,SCN-01-G0232,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000223,SCN-01-G0232,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000233,SCN-01-G0233,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000224,SCN-01-G0233,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000234,SCN-01-G0234,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000225,SCN-01-G0234,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000235,SCN-01-G0235,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000226,SCN-01-G0235,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000236,SCN-01-G0236,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000227,SCN-01-G0236,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000237,SCN-01-G0237,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000228,SCN-01-G0237,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000238,SCN-01-G0238,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000229,SCN-01-G0238,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000239,SCN-01-G0239,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000230,SCN-01-G0239,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000240,SCN-01-G0240,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000231,SCN-01-G0240,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000241,SCN-01-G0241,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000232,SCN-01-G0241,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000242,SCN-01-G0242,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000233,SCN-01-G0242,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000243,SCN-01-G0243,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000234,SCN-01-G0243,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000244,SCN-01-G0244,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000235,SCN-01-G0244,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000245,SCN-01-G0245,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000236,SCN-01-G0245,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000246,SCN-01-G0246,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000237,SCN-01-G0246,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000247,SCN-01-G0247,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000238,SCN-01-G0247,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000248,SCN-01-G0248,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000239,SCN-01-G0248,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000249,SCN-01-G0249,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000240,SCN-01-G0249,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000250,SCN-01-G0250,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000241,SCN-01-G0250,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000251,SCN-01-G0251,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000242,SCN-01-G0251,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000252,SCN-01-G0252,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000243,SCN-01-G0252,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000253,SCN-01-G0253,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000244,SCN-01-G0253,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000254,SCN-01-G0254,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000245,SCN-01-G0254,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000255,SCN-01-G0255,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000246,SCN-01-G0255,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000256,SCN-01-G0256,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000247,SCN-01-G0256,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000257,SCN-01-G0257,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000248,SCN-01-G0257,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000258,SCN-01-G0258,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000249,SCN-01-G0258,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000259,SCN-01-G0259,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000250,SCN-01-G0259,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000260,SCN-01-G0260,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000251,SCN-01-G0260,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000261,SCN-01-G0261,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000252,SCN-01-G0261,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000262,SCN-01-G0262,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000253,SCN-01-G0262,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000263,SCN-01-G0263,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000254,SCN-01-G0263,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000264,SCN-01-G0264,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000255,SCN-01-G0264,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000265,SCN-01-G0265,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000256,SCN-01-G0265,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000266,SCN-01-G0266,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000257,SCN-01-G0266,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000267,SCN-01-G0267,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000258,SCN-01-G0267,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000268,SCN-01-G0268,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000259,SCN-01-G0268,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000269,SCN-01-G0269,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000260,SCN-01-G0269,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000270,SCN-01-G0270,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000261,SCN-01-G0270,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000271,SCN-01-G0271,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000262,SCN-01-G0271,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000272,SCN-01-G0272,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000263,SCN-01-G0272,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000273,SCN-01-G0273,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000264,SCN-01-G0273,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000274,SCN-01-G0274,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000265,SCN-01-G0274,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000275,SCN-01-G0275,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000266,SCN-01-G0275,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000276,SCN-01-G0276,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000267,SCN-01-G0276,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000277,SCN-01-G0277,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000268,SCN-01-G0277,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000278,SCN-01-G0278,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000269,SCN-01-G0278,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000279,SCN-01-G0279,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000270,SCN-01-G0279,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000280,SCN-01-G0280,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000271,SCN-01-G0280,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000281,SCN-01-G0281,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000272,SCN-01-G0281,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000282,SCN-01-G0282,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000273,SCN-01-G0282,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000283,SCN-01-G0283,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000274,SCN-01-G0283,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000284,SCN-01-G0284,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000275,SCN-01-G0284,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000285,SCN-01-G0285,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000276,SCN-01-G0285,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000286,SCN-01-G0286,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000277,SCN-01-G0286,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000287,SCN-01-G0287,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000278,SCN-01-G0287,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000288,SCN-01-G0288,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000279,SCN-01-G0288,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000289,SCN-01-G0289,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000280,SCN-01-G0289,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000290,SCN-01-G0290,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000281,SCN-01-G0290,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000291,SCN-01-G0291,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000282,SCN-01-G0291,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000292,SCN-01-G0292,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000283,SCN-01-G0292,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000293,SCN-01-G0293,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000284,SCN-01-G0293,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000294,SCN-01-G0294,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000285,SCN-01-G0294,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000295,SCN-01-G0295,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000286,SCN-01-G0295,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000296,SCN-01-G0296,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000287,SCN-01-G0296,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000297,SCN-01-G0297,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000288,SCN-01-G0297,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000298,SCN-01-G0298,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000289,SCN-01-G0298,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000299,SCN-01-G0299,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000290,SCN-01-G0299,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000300,SCN-01-G0300,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000291,SCN-01-G0300,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000301,SCN-01-G0301,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000292,SCN-01-G0301,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000302,SCN-01-G0302,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000293,SCN-01-G0302,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000303,SCN-01-G0303,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000294,SCN-01-G0303,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000304,SCN-01-G0304,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000295,SCN-01-G0304,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000305,SCN-01-G0305,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000296,SCN-01-G0305,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000306,SCN-01-G0306,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000297,SCN-01-G0306,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000307,SCN-01-G0307,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000298,SCN-01-G0307,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000308,SCN-01-G0308,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000299,SCN-01-G0308,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000309,SCN-01-G0309,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000300,SCN-01-G0309,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000310,SCN-02-G0310,SCN-02,,low,match,Posted 4 calendar days after the ledger entry
ledger,GL-000301,SCN-02-G0310,SCN-02,,low,match,Posted 4 calendar days after the ledger entry
bank,BT-000311,SCN-02-G0311,SCN-02,,low,match,Posted 5 calendar days after the ledger entry
ledger,GL-000302,SCN-02-G0311,SCN-02,,low,match,Posted 5 calendar days after the ledger entry
bank,BT-000312,SCN-02-G0312,SCN-02,,low,match,Posted 2 calendar days after the ledger entry
ledger,GL-000303,SCN-02-G0312,SCN-02,,low,match,Posted 2 calendar days after the ledger entry
bank,BT-000313,SCN-02-G0313,SCN-02,,low,match,Posted 1 calendar days after the ledger entry
ledger,GL-000304,SCN-02-G0313,SCN-02,,low,match,Posted 1 calendar days after the ledger entry
bank,BT-000314,SCN-02-G0314,SCN-02,,low,match,Posted 3 calendar days after the ledger entry
ledger,GL-000305,SCN-02-G0314,SCN-02,,low,match,Posted 3 calendar days after the ledger entry
